pais,pais_completo,political_structure,regiao,continente,data_nacional,diplomata_designado,diplomata_nome,diplomata_genero,diplomata_data_admissao,diplomata_residente,embaixada_em_brasilia,embaixada_endereco,email_contato_1,email_contato_2,note
Afeganistão,República Islâmica do Afeganistão,,,Ásia,19/08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,info@embassyofafghanistan.org ,,
África do Sul,República da África do Sul,,,,27/04,TRUE,Joseph Ntshikiwane Mashimbye,homem,19/04/16,TRUE,TRUE,"SES Avenida das Nações, Quadra 801, Lote 6 - 70406-900 - Brasília - DF",brasilia.general@dirco.gov.za,,
Albânia,República da Albânia,,,,8/11,TRUE,Rezar Bregu,homem,28/09/18,TRUE,TRUE,"QI 19, SMDB Conj. 04, Lote 3 Casa D - Lago Sul - CEP 71680-040 - Brasília - DF",embassy.brasilia@mfa.gov.al,,
Alemanha,República Federal da Alemanha,,,,3/10,TRUE,Johann Georg Michael Witschel,homem,02/09/16,TRUE,TRUE,"SES Avenida das Nações, Quadra 807, Lote 25 - 70415-900 - Brasília - DF",info@brasilia.diplo.de,,
Andorra,Principado de Andorra,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Angola,República de Angola,,,,11/11,TRUE,Florêncio Mariano da Conceição de Almeida,homem,13/09/19,TRUE,TRUE,"SHIS QL 6, Conjunto 5, Casa 1 - 71620-055 - Brasília - DF",embaixada.brasil@mirex.gov.ao,,
Antígua e Barbuda,Antígua e Barbuda,,,,1/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,foreignaffairs@ab.gov.ag,,
Arábia Saudita,Reino da Arábia Saudita,,,,23/09,TRUE,Ali Abdullah Bahitham,homem,15/04/19,TRUE,TRUE,"SHIS QI 9, Conjunto 9, Casa 18 - 71625-090 - Brasília - DF",bremb@mofa.gov.sa,,
Argélia,República Argelina Democrática e Popular,,,,1/11,TRUE,Toufik Dahmani,homem,04/03/15,TRUE,TRUE,"SHIS QI 9, Conjunto 13, Casa 1 - 70472-900 - Brasília - DF",sanag277@terra.com.br,argelia.bsb@gmail.com,
Argentina,República Argentina,,,,25/05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"SES Avenida das Nações, Quadra 803, Lote 12 - 70200-905 - Brasília - DF",ebras@mrecic.gov.ar,,
Armênia,República da Armênia,,,,21/09,TRUE,Ashot Galoyan,homem,04/04/14,TRUE,TRUE,"SHIS QL 28, Conjunto 1, Casa 16 - 71665-215 - Brasília - DF",armbrasilembassy@mfa.am,,
Austrália,Comunidade da Austrália,,,,26/01,TRUE,Timothy Francis Kane,homem,21/11/18,TRUE,TRUE,"SES Avenida das Nações, Quadra 801, Conjunto K, Lote 7 - 70200-010 - Brasília - DF",embaustr@dfat.gov.au,,
Áustria,República da Áustria,,Europa Central,Europa,26/10,TRUE,Irene Giner-Reichl,mulher,06/07/17,TRUE,TRUE,"SES Avenida das Nações, Quadra 811, Lote 40 - 70426-900 - Brasília - DF",brasilia-ob@bmeia.gv.at,,
Azerbaijão,República do Azerbaijão,,,,28/05,TRUE,Elkhan Polukhov,homem,31/01/17,TRUE,TRUE,"SHIS QI 9, Conjunto 15, Casa 15 - 71625-150 Brasília - DF",brasilia@mission.mfa.gov.az,,
Bahamas,Comunidade das Bahamas,,,,10/07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Bangladesh,República Popular do Bangladesh,,,,26/03,TRUE,Zulfiqur Rahman,homem,09/01/18,TRUE,TRUE,"SHIS QL 12, conjunto 1, casa 3 - 71630-215 – Brasília - DF",embaixadabangladesh@gmail.com,,
Barbados,Barbados,,América Central,América ,30/11,TRUE,Tonika Maria Sealy Thompson,mulher,17/12/18,TRUE,TRUE,"SHIS QI 13, Conjunto 10, Casa 03 - 71635-100 - Brasília - DF",embbarbados@hotmail.com,,
Bahrein,Reino do Bahrein,,,,15/08,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"SHIS QI 11, conj. 10, casa 5, Lago Sul - CEP 71625-300 Brasília, DF",embaixada.bahrein@mofa.gov.bh,,
Belarus,República da Belarus,,,,03/07,TRUE,Aleksandr Tserkovsky,homem,01/09/16,TRUE,TRUE,"SHIS QI 7, Conjunto 9, Casa 17 - 71.615-290 – Brasília - DF",brazil@mfa.gov.by,,
Bélgica,Reino da Bélgica,,,,21/07,TRUE,Patrick Hermann,homem,21/08/18,TRUE,TRUE,"SES Avenida das Nações, Quadra 809, Lote 32 - 70.422-900 - Brasília - DF",brasilia@diplobel.fed.be,,
Belize,Belize,,,,21/09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Benin,República do Benin,,,,01/08,TRUE,Boniface Vignon,homem,25/05/17,TRUE,TRUE,"SHIS QI 9, Conjunto 11, Casa 24 - 71.625-110 - Brasília - DF",ambabeninbrasilia@yahoo.fr,,
Bolívia,Estado Plurinacional da Bolívia,,,,06/08,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"SES Avenida das Nações, Quadra 809, lote 34 - 70.200-090 - Brasília - DF",embolivia@embolivia.org.br,,
Bósnia e Herzegovina,Bósnia e Herzegovina,,,,01/03,TRUE,Haris Hrle,homem,26/06/17,FALSE,FALSE,FALSE,FALSE,,
Botsuana,República do Botsuana,,África Austral,África,30/09,TRUE,Tebogo Teko Lily Motshome,mulher,15/10/18,TRUE,TRUE,"SHIS QI 9, Conjunto 16, Casa 3 - 71.625-160 – Brasília - DF",botbraz@go.bw ,info@botbraz.org.br,
Brunei,Estado do Brunei Darussalam,,,,01/01,TRUE,Pengiran Haji Kamal Bashah bin Pengiran Haji Ahmad,homem,22/03/16,FALSE,FALSE,FALSE,bhco@bellnet.ca,,
Bulgária,República da Bulgária,,,,03/03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SEN 8 - Asa Norte - 70800-911 - Brasília - DF,embassy.brasilia@mfa.bg,secretaria.brasilia@bgembassy.com.br,
Burkina Faso,Burkina Faso,,África Oriental,África,11/12,TRUE,Aminata Sana Congo,mulher,11/12/18,TRUE,TRUE,SHIS QL 14 conjunto 9 casa 1 – Lago Sul - 71640-095 – Brasília/DF,amburkinabras@gmail.com,,
Burúndi,República do Burundi,,,,01/07,TRUE,Pauline Ruratotoye,homem,18/09/19,TRUE,TRUE,"SHIS QI 21 Conjunto 01, Casa 16 - Lago Sul - 71.655-210 - Brasília - DF",ambaburundibrasilia@gmail.com,,
Butão,Reino do Butão,,Sul da Ásia,Ásia,17/12,TRUE,Doma Tshering,mulher,24/04/18,FALSE,FALSE,FALSE,FALSE,,
